name,default_name,is_team
Falcon,Falcon,f
Sam Wilson,Sam Wilson,f
Ultimates? Iron(-| )?Man,Ultimate Iron Man,f
Clint Barton,Hawkeye,f
Thor,Thor,f
Perseus,Perseus,f
Star(-| )?Lord,Star-Lord,f
Tony Stark,Iron Man,f
Tony,Tony,f
Nebula,Nebula,f
Yondu,Yondu,f
Groot,Groot,f
Rocket,Rocket,f
Rocket Racoon,Rocket Raccoon,f
Rocket Raccoon,Rocket Raccoon,f
Drax,Drax the Destroyer,f
Gamora,Gamora,f
Peter Quill,Star-Lord,f
Guardians of the Galaxy,Guardians of the Galaxy,f
Ebony Maw,Ebony Maw,f
Ego,Ego,f
Ghost,Ghost,f
Hela,Hela,f
Iron Monger,Iron Monger,f
Obadiah Stane,Iron Monger,f
Infinity Stones,Infinity Stones,f
Infinity Gems,Infinity Stones,f
Infinity Gem,Infinity Stones,f
Space Stone,Space Stone,f
Space Gem,Space Stone,f
Mind Stone,Mind Stone,f
Mind Gem,Mind Stone,f
Reality Stone,Reality Stone,f
Reality Gem,Reality Stone,f
Power Stone,Power Stone,f
Power Gem,Power Stone,f
Time Stone,Time Stone,f
Time Gem,Time Stone,f
Soul Stone,Soul Stone,f
Soul Gem,Soul Stone,f
Gems,Gems,f
stones,Stones,f
Korath,Korath The Pursuer,f
Korg,Korg,f
Miek,Miek,f
Loki,Loki,f
Aldrich Killian,The Mandarin,f
Winter Soldiers?,Winter Soldier,f
Animals,Animals,f
Jotunheim Beast,Jotunheim Beast,f
Fire Dragon,Fire Dragon,f
Fenris,Fenris,f
Abilisk,Abilisk,f
Lockjaw,Lockjaw,f
Okoye,Okoye,f
General of the Dora Milaje,Okoye,f
Ronan,Ronan the Accuser,f
Durge,Durge,f
Brunnhilde,Valkyrie,f
Valkyrie,Valkyrie,f
Sif,Sif,f
Shocker,Shocker,f
Herman Schultz,Shocker,f
Surtur,Surtur,f
Thanos,Thanos,f
Ultron,Ultron,f
Ulysses Klaue,Ulysses Klaue,f
Cross ?bones,Crossbones,f
Bruce Banner,Bruce Banner,f
Scarlett? Witch,Scarlet Witch,f
Cap(tain)? Marvel,Captain Marvel,f
M(i|a)koto Misaka|Misaka M(i|a)koto,Mikoto Misaka,f
Hell ?boys?,Hellboy,f
Ca?pt\.?((ai|ia)n)? Americas?,Captain America,f
Steve Rogers,Steve Rogers,f
Indominus,Indominus Rex,f
Vulture,Vulture,f
Yellowjacket,Yellowjacket,f
Darren Cross,Yellowjacket,f
Ivan Antonovich Vanko,Whiplash,f
Ivan Vanko,Whiplash,f
Whiplash,Whiplash,f
Yon-Rogg,Yon-Rogg,f
Warriors Three,Warriors Three,f
Fandral,Warriors Three,f
Hogun,Warriors Three,f
Agents,Agents,f
Brown,Brown,f
Agent Brown,Agent Brown,f
Smith,Smith,f
Agent Smith,Agent Smith,f
Jones,Jones,f
Agent Jones,Agent Jones,f
Jackson,Jackson,f
Agent Jackson,Agent Jackson,f
Johnson,Johnson,f
Agent Johnson,Agent Johnson,f
Thompson,Thompson,f
Agent Thompson,Agent Thompson,f
Morpheus,Morpheus,f
Neo,Neo,f
Trinity,Trinity,f
Black Knight,Black Knight,f
King Arthur,King Arthur,f
Rabbit of Caerbannog,The Rabbit of Caerbannog,f
Rabbit,Rabbit,f
Tim,Tim,f
Tim the Enchanter,Tim the Enchanter,f
Mewtwo,Mewtwo,f
Ms. Norman,Ms. Norman,f
Gundam,Gundam,f
Mighty Steel Leg,Sing,f
Shaolin Soccer Team,Team Shaolin,f
Team Shaolin,Team Shaolin,f
Hooking Leg,Team Shaolin,f
Iron Shirt,Team Shaolin,f
Lightweight Vest,Team Shaolin,f
Team Evil,Team Evil,f
Keeper,Keeper,f
Super,Super,f
The Commander,The Commander,f
Steve Stronghold,Steve Stronghold,f
Warren Peace,Warren Peace,f
Will Stronghold,Will Stronghold,f
Will,Will,f
Sky High,Sky High,f
Bo(-| )Katan,Bo-Katan,f
Cad Bane,Cad Bane,f
Embo,Embo,f
Talzin,Talzin,f
Pre Vizsla,Pre Vizsla,f
Wiz vs\.? Boomstick,Wiz & Boomstick,t
Harry Osborn,Harry Osborn,f
New Goblin,New Goblin,f
Wiz,Wiz,f
Venom,Venom,f
Terminatrix,Terminatrix,f
T-X,Terminatrix,f
T-800,T-800,f
T800,T-800,f
T-850,T-850,f
T850,T-850,f
T-3000,T-3000,f
T3000,T-3000,f
Luke Skywall?ker,Luke Skywalker,f
Volstagg,Volstagg,f
MCU Avengers,MCU Avengers,t
Revengers,The Revengers,t
Aayla Secura,Aayla Secura,f
Adi Gallia,Adi Gallia,f
Anakin,Anakin Skywalker,f
Barriss Offee,Barriss Offee,f
Boba Fett,Boba Fett,f
Chewbacca,Chewbacca,f
Chirrut,Chirrut Îmwe,f
Dooku,Count Dooku,f
Darth Maul,Darth Maul,f
Savage Opress,Savage Opress,f
Darth Sidious,Emperor Palpatine,f
Sidious,Emperor Palpatine,f
Palpatine,Emperor Palpatine,f
Vader,Darth Vader,f
Depa Billaba,Depa Billaba,f
FN-2199,FN-2199,f
FN 2199,FN-2199,f
FN2199,FN-2199,f
Nines,Nines,f
Jango Fett,Jango Fett,f
Jar Jar,Jar Jar Binks,f
K-2SO,K-2SO,f
K2SO,K-2SO,f
Kit Fisto,Kit Fisto,f
Grand Inquisitor,Grand Inquisitor,f
Grand Master Luke,Grandmaster Luke Skywalker,f
Grandmaster Luke,Grandmaster Luke Skywalker,f
Luminara Unduli,Luminara Unduli,f
Mace Windu,Mace Windu,f
Plo Koon,Plo Koon,f
Yoda,Yoda,f
Cade Yeager,Cade Yeager,f
Cogman,Cogman,f
Dinobots,Dinobots,f
Dinobot,Dinobots,f
Grimlock,Grimlock,f
Slug,Slug,f
Scorn,Scorn,f
Strafe,Strafe,f
Guardian Knights,Guardian Knights,f
Skullitron,Skullitron,f
Dragonstorm,Dragonstorm,f
Lockdown,Lockdown,f
Megatron,Megatron,f
Galvatron,Galvatron,f
Optimus Prime,Optimus Prime,f
Starscream,Starscream,f
